id,sl_no,date,style_no,quantity_sold,selling_price,total_revenue,unit_purchase_cost,cogs,profit,profit_margin,reference
27,27,2026-08-31,DE26077N,2,308.49,616.98,220.0,440.0,176.98,0.2868,Direct Sale
28,28,2026-09-01,DE26003B,2,327.09,654.18,219.0,438.0,216.18,0.3305,Direct Sale
29,29,2026-09-01,DE26030M,2,289.645,579.29,205.0,410.0,169.29,0.2922,Direct Sale
30,30,2026-09-02,DE26003B,1,336.97,336.97,219.0,219.0,117.97,0.3501,Direct Sale
31,31,2026-09-02,DE26004R,1,124.68,124.68,219.0,219.0,-94.32,-0.7565000000000001,Exchange EX-002
32,32,2026-09-02,DE26077Y,1,318.52,318.52,220.0,220.0,98.52,0.3093,Direct Sale
33,33,2026-09-03,DE26003W,1,298.66,298.66,219.0,219.0,79.66,0.2667,Direct Sale
34,34,2026-09-03,DE26005N,1,271.06,271.06,235.0,235.0,36.06,0.133,Direct Sale
35,35,2026-09-04,DE26030B,1,281.28,281.28,205.0,205.0,76.28,0.2712,Direct Sale
36,36,2026-09-04,DE26077N,1,283.27,283.27,220.0,220.0,63.27,0.2234,Direct Sale
37,37,2026-09-04,DE26077R,1,280.8,280.8,220.0,220.0,60.8,0.2165,Direct Sale
38,38,2026-09-04,DE26077Y,1,280.98,280.98,220.0,220.0,60.98,0.217,Direct Sale
39,39,2026-09-06,DE26003B,1,298.81,298.81,219.0,219.0,79.81,0.2671,Direct Sale
40,40,2026-09-06,DE26004N,1,285.9,285.9,219.0,219.0,66.9,0.234,Direct Sale
41,41,2026-09-06,DE26077N,1,318.08,318.08,220.0,220.0,98.08,0.3084,Direct Sale
42,42,2026-09-06,DE26077R,1,280.98,280.98,220.0,220.0,60.98,0.217,Direct Sale
43,43,2026-09-06,DE26077Y,2,284.39,568.78,220.0,440.0,128.78,0.2264,Direct Sale
44,44,2026-09-07,DE26077R,3,283.82,851.46,220.0,660.0,191.46,0.2249,Direct Sale
45,45,2026-09-09,DE26002R,1,336.97,336.97,235.0,235.0,101.97,0.3026,Direct Sale
46,46,2026-09-09,DE26003W,1,335.79,335.79,219.0,219.0,116.79,0.3478,Direct Sale
47,47,2026-09-09,DE26008R,1,311.24,311.24,235.0,235.0,76.24,0.245,Direct Sale
48,48,2026-09-09,DE26077N,1,283.23,283.23,220.0,220.0,63.23,0.2232,Direct Sale
49,49,2026-09-10,DE26009G,1,328.02,328.02,225.0,225.0,103.02,0.3141,Direct Sale
50,50,2026-09-11,DE26006R,3,309.83,929.49,235.0,705.0,224.49,0.2415,Direct Sale
51,51,2026-09-11,DE26009P,1,302.1,302.1,225.0,225.0,77.1,0.2552,Direct Sale
52,52,2026-09-12,DE26007R,1,309.66,309.66,235.0,235.0,74.66,0.2411,Direct Sale
53,53,2026-09-12,DE26030R,1,291.2,291.2,205.0,205.0,86.2,0.296,Direct Sale
54,54,2026-09-13,DE26002N,1,337.09,337.09,235.0,235.0,102.09,0.3029,Direct Sale
55,55,2026-09-13,DE26009G,1,302.78,302.78,225.0,225.0,77.78,0.2569,Direct Sale
56,56,2026-09-14,DE26002R,1,315.37,315.37,235.0,235.0,80.37,0.2548,Direct Sale
57,57,2026-09-14,DE26006R,1,309.48,309.48,235.0,235.0,74.48,0.2407,Direct Sale
58,58,2026-09-15,DE26003W,1,314.71,314.71,219.0,219.0,95.71,0.3041,Direct Sale
59,59,2026-09-15,DE26007N,2,325.765,651.53,235.0,470.0,181.53,0.2786,Direct Sale
60,60,2026-09-15,DE26009G,1,328.34,328.34,225.0,225.0,103.34,0.3147,Direct Sale
61,61,2026-09-15,DE26077R,1,317.94,317.94,220.0,220.0,97.94,0.308,Direct Sale
62,62,2026-09-16,DE26002M,1,366.57,366.57,235.0,235.0,131.57,0.3589,Direct Sale
63,63,2026-09-16,DE26002R,1,366.79,366.79,235.0,235.0,131.79,0.3593,Direct Sale
64,64,2026-09-16,DE26006B,1,336.72,336.72,235.0,235.0,101.72,0.3021,Direct Sale
65,65,2026-09-16,DE26006R,1,336.71,336.71,235.0,235.0,101.71,0.3021,Direct Sale
66,66,2026-09-16,DE26030R,1,316.95,316.95,205.0,205.0,111.95,0.3532,Direct Sale
